,puuid,matchId
0,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6619106249
1,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6619052015
2,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6618991212
3,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6618644011
4,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6618620484
5,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6618595582
6,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6617532786
7,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6617488098
8,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6617404148
9,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6617329893
10,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6617271788
11,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6617230085
12,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6617172620
13,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6616691330
14,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6616605725
15,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6616506610
16,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6616396663
17,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6616284540
18,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6616124041
19,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6616002642
20,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6615930685
21,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6615868998
22,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6615657336
23,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6615591900
24,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6615536673
25,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6615479994
26,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6615434054
27,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6615376361
28,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6614871297
29,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6614808265
30,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6614741615
31,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6614644954
32,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6614547127
33,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6614419290
34,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6614263984
35,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6614201446
36,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6614118185
37,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6614035356
38,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6613977250
39,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6613922082
40,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6613862791
41,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6613809491
42,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6613552852
43,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6613521609
44,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6613475202
45,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6613084791
46,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6613058708
47,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6613022541
48,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6612973864
49,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6612916230
50,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6612604168
51,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6612493758
52,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6612441517
53,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6612337713
54,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6612262069
55,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6612169427
56,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6612103728
57,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6612025508
58,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6611985087
59,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6611867477
60,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6611818028
61,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6611766602
62,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6611730340
63,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6611682428
64,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6611649568
65,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6611136122
66,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6611095659
67,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6611043007
68,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6610987600
69,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6610941687
70,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6610793837
71,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6610634524
72,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6610534486
73,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6610420026
74,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6610322666
75,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6610243986
76,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6609972104
77,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6609891359
78,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6609766980
79,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6609708893
80,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6609619158
81,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6608686344
82,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6608616883
83,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6608539075
84,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6608425237
85,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6608218617
86,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6608120823
87,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6608009238
88,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6607936075
89,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6607863078
90,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6607714977
91,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6607644510
92,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6607584573
93,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6607537406
94,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6607466430
95,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6607415014
96,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6607335124
97,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6607266947
98,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6607196884
99,_1O5jqSv6G2HCwSFHatCtbBMfReAr7RKjUjI3uPXMVAbMnczS8_IMnh5CcYKKFPFbb_ROaDJoufhiQ,KR_6607130094
100,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6617807607
101,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6617756320
102,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6617699027
103,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6617635153
104,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6617541554
105,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6617508115
106,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6617427730
107,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6617386437
108,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6616866383
109,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6616798782
110,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6616673610
111,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6616623120
112,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6616473744
113,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6616360828
114,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6615934755
115,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6615657336
116,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6615065321
117,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6615044560
118,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6615025504
119,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6614997369
120,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6614970536
121,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6614908939
122,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6614884558
123,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6614827386
124,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6614591061
125,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6614505781
126,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6614391941
127,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6614263984
128,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6614201446
129,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6614103248
130,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6613992475
131,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6613941315
132,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6613889796
133,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6613843354
134,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6613779124
135,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6613211292
136,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6613194470
137,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6613181322
138,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6613170412
139,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6613151539
140,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6613127651
141,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6613039524
142,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6612984047
143,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6612899387
144,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6612704204
145,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6612607223
146,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6612495401
147,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6612376523
148,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6612240852
149,zsw__wPgUFJxmpZhCIDWZvZFPgn3egmUakCm9OK1ecT5fE0iMKTFXtOZHBGQIaUhQxLzk-_3zUdA_Q,KR_6612161119
